A;B;C;Clase ;Nombre;;
347826;347826;347826;alcohol;2-Butanol;3;
378522;939274;500833;alcohol;2-propanol, 2-metil-;3;
909711;117401;37495;alcohol;Ethyl ether;3;
636755;297179;652792;alcohol;1-Butanol, 3-methyl-;3;
815;296;2699;alcohol;1-Pentanol;3;
937762;245643;910580;alcohol;1-Butanol, 2-methyl-;3;
726;45;1524;alcohol;2-Pentanol;3;
964;63;884;alcohol;3-Pentanol;3;
5892;24;1076;alcohol;2-Butanol, 3-methyl-;3;
0.6656;0.8926;0.4879;alcohol;1-propanol, 2,2-dimetil-;3;
114346;194411;850810;alcohol;Phenol;3;
130748;130411;130229;alcohol;Glicerina;3;
928183;386127;923742;alcohol;Propylene Glycol;3;
748924;181210;201529;alcohol;Ethanol, 2-methoxy-;3;
0.5684;0.796;0.6268;alcohol;1,3-propanodiol;3;
1413;121;234;alcohol;Phenol, 4-ethyl-;3;
0.5638;0.9777;0.6262;alcohol;Phenol, 2,6-dimethyl-;3;
711132;956268;900153;alcohol;Phenol, 3-ethyl-;3;
2970;78;723;alcohol;Fenol, 2,4-dimetil-;3;
1216;188;238;alcohol;Phenol, 2-ethyl-;3;
0.5785;0.8325;0.5527;alcohol;Phenol, 2,5-dimethyl-;3;
3822;798;7248;alcohol;3-Methylbenzyl alcohol;3;
219371;803824;394166;alcohol;1,2-Ethanediol;3;
0.7319;0.8617;0.6462;alcohol;Polyethylene glycol;3;
468783;687238;562316;alcohol;1-hexanol;3;
716;38;1180;alcohol;2-Hexanol;3;
0.3639;0.8498;0.4443;alcohol;1-Pentanol, 4-metil-;3;
22;37;1433;alcohol;3-hexanol;3;
38;207;2922;alcohol;Diisopropil ‚ter;3;
61;28;1599;alcohol;1-Pentanol, 3-methyl;3;
37;32;126;alcohol;2-Pentanol, 2-methyl-;3;
39;155;1034;alcohol;2-Pentanol, 4-methyl-;3;
51;36;1712;alcohol;1-Pentanol, 2-methyl-;3;
22;56;764;alcohol;3-Pentanol, 3-methyl-;3;
70;149;2023;alcohol;1-Butanol, 2-ethyl-;3;
0.4252;1.0081;0.7371;alcohol;3-Pentanol, 2-methyl-;3;
142;101;991;alcohol;2-Pentanol, 3-methyl-;3;
34;38;221;alcohol;2-Butanol, 2,3-dimethyl-;3;
142;140;862;alcohol;1-Butanol, 3,3-dimethyl-;3;
28;36;1908;alcohol;1-Butanol, 2,3-dimethyl-;3;
45;65;887;alcohol;Cycloheptanol;3;
0.5012;0.8327;0.2374;alcohol;1-Hepten-3-ol;3;
21;53;210;alcohol;Cyclohexanol, 1-methyl-;3;
620572;526072;711544;alcohol;Cyclohexanol, 2-methyl-;3;
;;;;;;
